playerID,nameFirst,nameLast,nameGiven,weight,height,bats,throws
allarbr01,Brian,Allard,Brian Marshall,175,73,R,R
allenbe01,Bernie,Allen,Bernard Keith,175,72,L,R
allenbo01,Bob,Allen,Robert Gilman,175,71,R,R
allenbo02,Bob,Allen,Robert,180,70,R,R
allenbo03,Bob,Allen,Robert Earl,165,73,R,R
allenbo04,Bob,Allen,Robert Gray,175,74,L,L
allenbr01,Brandon,Allen,Brandon Durell,235,74,L,R
allench01,Chad,Allen,John Chad,195,73,R,R
allenco01,Cody,Allen,Cody Edward,210,73,R,R
allendi01,Dick,Allen,Richard Anthony,187,71,R,R
allendu01,Dusty,Allen,Dustin R.,215,76,R,R
allenet01,Ethan,Allen,Ethan Nathan,180,73,R,R
allenfr01,Frank,Allen,Frank Leon,175,69,R,L
allenga01,Gary,Allenson,Gary Martin,185,71,R,R
allenha01,Ham,Allen,Frank Erwin,,64,,
allenha02,Hank,Allen,Harold Andrew,190,72,R,R
allenhe01,Hezekiah,Allen,Hezekiah,160,71,,
allenho01,Horace,Allen,Horace Tanner,187,72,L,R
allenja01,Jack,Allen,Cyrus Alban,160,,R,R
allenja02,Jamie,Allen,James Bradley,205,72,R,R
allenje01,Jermaine,Allensworth,Jermaine LaMont,178,72,R,R
allenjo01,John,Allen,John Marshall,170,73,R,R
allenjo02,Johnny,Allen,John Thomas,180,72,R,R
allenki01,Kim,Allen,Kim Bryant,175,71,R,R
allenll01,Lloyd,Allen,Lloyd Cecil,185,73,R,R
allenlu01,Luke,Allen,Lucas Gale,208,74,L,R
allenmy01,Myron,Allen,Myron Smith,150,68,R,R
allenne01,Neil,Allen,Neil Patrick,185,75,R,R
allenni01,Nick,Allen,Artemus Ward,180,72,R,R
allenpe01,Pete,Allen,Jesse Hall,185,68,R,R
allenro01,Ron,Allen,Ronald Frederick,205,75,B,R
allenro02,Rod,Allen,Roderick Bernet,185,73,R,R
allensl01,Sled,Allen,Fletcher Manson,180,73,R,R
alleyge01,Gene,Alley,Leonard Eugene,160,70,R,R
alliebo01,Bob,Allietta,Robert George,190,72,R,R
alliega01,Gair,Allie,Gair Roosevelt,190,73,R,R
allisan01,Andy,Allison,Andrew Kent,150,70,,
allisar01,Art,Allison,Arthur Algernon,150,68,,
allisbi01,Bill,Allison,William,,,,
allisbo01,Bob,Allison,William Robert,205,75,R,R
allisda01,Dana,Allison,Dana Eric,215,75,R,L
allisdo01,Doug,Allison,Douglas L.,160,70,R,R
allisma01,Mack,Allison,Mack Pendleton,185,73,R,R
allismi01,Milo,Allison,Milo Henry,163,72,L,R
allrebe01,Beau,Allred,Dale LeBeau,190,72,L,L
almadme01,Mel,Almada,Baldomero Melo,170,72,L,L
almanar01,Armando,Almanza,Armando,205,75,L,L
almanca01,Carlos,Almanzar,Carlos Manuel,166,74,R,R
almeira01,Rafael,Almeida,Rafael D.,164,69,R,R
almonab01,Abraham,Almonte,Abraham,205,69,B,R
almonbi01,Bill,Almon,William Francis,180,75,R,R
almoned01,Edwin,Almonte,Edwin,200,75,R,R
almoner01,Erick,Almonte,Erick R.,245,74,R,R
almonhe01,Hector,Almonte,Hector Radhames,190,74,R,R
almonzo01,Zoilo,Almonte,Zoilo,205,72,B,R
alomalu01,Luis,Aloma,Luis,195,74,R,R
alomaro01,Roberto,Alomar,Roberto,184,72,B,R
alomasa01,Sandy,Alomar,Santos,140,69,B,R
alomasa02,Sandy,Alomar,Santos,200,77,R,R
alonsyo01,Yonder,Alonso,Yonder,250,74,L,R
aloufe01,Felipe,Alou,Felipe Rojas,195,72,R,R
alouje01,Jesus,Alou,Jesus Maria Rojas,190,74,R,R
alouma01,Matty,Alou,Mateo Rojas,160,69,L,L
aloumo01,Moises,Alou,Moises Rojas,185,75,R,R
alperwh01,Whitey,Alperman,Charles Augustus,180,70,R,R
alstode01,Dell,Alston,Wendell,180,72,L,R
alstoga01,Garvin,Alston,Garvin James,185,74,R,R
alstoto01,Tom,Alston,Thomas Edison,210,77,L,R
alstowa01,Walter,Alston,Walter Emmons,195,74,R,R
altampo01,Porfi,Altamirano,Porfirio,175,72,R,R
altener01,Ernie,Alten,Ernest Matthias,175,72,R,L
